42 80 3 1
1 -0.52573111211913359 0.85065080835203999 0 1
2 0.52573111211913359 0.85065080835203999 0 1
3 -0.52573111211913359 -0.85065080835203999 0 1
4 0.52573111211913359 -0.85065080835203999 0 1
5 0 -0.52573111211913359 0.85065080835203999 1
6 0 0.52573111211913359 0.85065080835203999 1
7 0 -0.52573111211913359 -0.85065080835203999 1
8 0 0.52573111211913359 -0.85065080835203999 1
9 0.85065080835203999 0 -0.52573111211913359 1
10 0.85065080835203999 0 0.52573111211913359 1
11 -0.85065080835203999 0 -0.52573111211913359 1
12 -0.85065080835203999 0 0.52573111211913359 1
13 -0.80901699437494745 0.50000000000000011 0.30901699437494745 1
14 -0.5 0.3090169943749474 0.80901699437494734 1
15 -0.3090169943749474 0.80901699437494734 0.5 1
16 0.3090169943749474 0.80901699437494734 0.5 1
17 0 1 0 1
18 0.3090169943749474 0.80901699437494734 -0.5 1
19 -0.3090169943749474 0.80901699437494734 -0.5 1
20 -0.5 0.3090169943749474 -0.80901699437494734 1
21 -0.80901699437494745 0.50000000000000011 -0.30901699437494745 1
22 -1 0 0 1
23 0.5 0.3090169943749474 0.80901699437494734 1
24 0.80901699437494745 0.50000000000000011 0.30901699437494745 1
25 -0.5 -0.3090169943749474 0.80901699437494734 1
26 0 0 1 1
27 -0.80901699437494745 -0.50000000000000011 -0.30901699437494745 1
28 -0.80901699437494745 -0.50000000000000011 0.30901699437494745 1
29 0 0 -1 1
30 -0.5 -0.3090169943749474 -0.80901699437494734 1
31 0.80901699437494745 0.50000000000000011 -0.30901699437494745 1
32 0.5 0.3090169943749474 -0.80901699437494734 1
33 0.80901699437494745 -0.50000000000000011 0.30901699437494745 1
34 0.5 -0.3090169943749474 0.80901699437494734 1
35 0.3090169943749474 -0.80901699437494734 0.5 1
36 -0.3090169943749474 -0.80901699437494734 0.5 1
37 0 -1 0 1
38 -0.3090169943749474 -0.80901699437494734 -0.5 1
39 0.3090169943749474 -0.80901699437494734 -0.5 1
40 0.5 -0.3090169943749474 -0.80901699437494734 1
41 0.80901699437494745 -0.50000000000000011 -0.30901699437494745 1
42 1 0 0 1
1 1 1 13 15
2 1 12 14 13
3 1 6 15 14
4 1 13 14 15
5 1 1 15 17
6 1 6 16 15
7 1 2 17 16
8 1 15 16 17
9 1 1 17 19
10 1 2 18 17
11 1 8 19 18
12 1 17 18 19
13 1 1 19 21
14 1 8 20 19
15 1 11 21 20
16 1 19 20 21
17 1 1 21 13
18 1 11 22 21
19 1 12 13 22
20 1 21 22 13
21 1 2 16 24
22 1 6 23 16
23 1 10 24 23
24 1 16 23 24
25 1 6 14 26
26 1 12 25 14
27 1 5 26 25
28 1 14 25 26
29 1 12 22 28
30 1 11 27 22
31 1 3 28 27
32 1 22 27 28
33 1 11 20 30
34 1 8 29 20
35 1 7 30 29
36 1 20 29 30
37 1 8 18 32
38 1 2 31 18
39 1 9 32 31
40 1 18 31 32
41 1 4 33 35
42 1 10 34 33
43 1 5 35 34
44 1 33 34 35
45 1 4 35 37
46 1 5 36 35
47 1 3 37 36
48 1 35 36 37
49 1 4 37 39
50 1 3 38 37
51 1 7 39 38
52 1 37 38 39
53 1 4 39 41
54 1 7 40 39
55 1 9 41 40
56 1 39 40 41
57 1 4 41 33
58 1 9 42 41
59 1 10 33 42
60 1 41 42 33
61 1 5 34 26
62 1 10 23 34
63 1 6 26 23
64 1 34 23 26
65 1 3 36 28
66 1 5 25 36
67 1 12 28 25
68 1 36 25 28
69 1 7 38 30
70 1 3 27 38
71 1 11 30 27
72 1 38 27 30
73 1 9 40 32
74 1 7 29 40
75 1 8 32 29
76 1 40 29 32
77 1 10 42 24
78 1 9 31 42
79 1 2 24 31
80 1 42 31 24
